beacon_id,zone_name,zone_status,zone_id,station_id,clock,sub_station_id,direction,height_inches,pole_type,power_feed,mount_location,power_source,atd_location_id,created_date,created_by,modified_date,modified_by,am_start,am_end,pm_start,pm_end,pm_start_2,pm_end_2,location_name,location,latitude,longitude,unit_address,Source DB ID
7104-312-00,METZ,Active,7104,312,TRUE,0,NB,83,2_IN,OH,,AC,LOC17-008205,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,60 BLK ROBERT T MARTINEZ JR ST,"(30.25248527, -97.72214524)",30.25248527,-97.72214524,,
7431-347-00,"ANDERSON MILL, GRISHAM",Active,7431,347,TRUE,0,NB,90,4_IN,,,SOLAR,LOC17-009040,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492072200,1492092000,1492100100,,,11904 BLK PECAN CREEK PKWY,"(30.45277603, -97.80904264)",30.45277603,-97.80904264,,
7417-050-00,"WOOTEN, REEDEMER",Active,7417,50,TRUE,0,EB,86,4_IN,OH,,AC,LOC17-008520,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492072200,1492093800,1492098300,,,1400 BLK WOOTEN DR,"(30.35536465, -97.72102145)",30.35536465,-97.72102145,,
7528-241-00,CASEY,Active,7528,241,TRUE,0,SB,81,4_IN,,,SOLAR,LOC17-007530,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492072200,1492093800,1492099200,,,9009 BLK TEXAS OAKS DR,"(30.178783, -97.81309571)",30.178783,-97.81309571,,
7520-292-00,CROCKETT,Active,7520,292,TRUE,0,EB,86,2_IN,OH,,AC,LOC17-008665,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492068600,1492074900,1492085400,1492092600,1492099200,1492102800,1821 BLK W STASSNEY LN,"(30.21490116, -97.7968651)",30.21490116,-97.7968651,,
7315-287-06,DAWSON,Active,7315,287,FALSE,6,NB,,,OH,,SOLAR,LOC17-009620,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492092000,1492098300,,,BLK,"(30.23356512, -97.76506312)",30.23356512,-97.76506312,,
7414-037-00,"HILL, ANDERSON",Active,7414,37,TRUE,0,EB,91,2_IN,OH,,AC,LOC17-008420,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492074900,1492093800,1492102800,,,3900 BLK CIMA SERENA,"(30.37687013, -97.75244507)",30.37687013,-97.75244507,,
7307-271-00,TRAVIS,Active,7307,271,TRUE,0,WB,,,,SP,AC,LOC17-008235,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492070400,1492074900,1492084800,1492090200,1492099200,1492102800,900 BLK E OLTORF ST,"(30.23509623, -97.74466026)",30.23509623,-97.74466026,,
7521-293-00,"CUNNINGHAM, EDEN PARK ACADEMY",Active,7521,293,TRUE,0,NB,83,2_IN,OH,,AC,LOC17-008660,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492072200,1492093800,1492101000,,,6400 BLK MANCHACA RD,"(30.20780961, -97.80527035)",30.20780961,-97.80527035,,
7413-030-00,CARAWAY,Active,7413,30,TRUE,0,NB,90,2_IN,OH,,AC,LOC17-008190,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,7416 BLK FIREOAK DR,"(30.42092395, -97.77265503)",30.42092395,-97.77265503,,
7516-246-00,WILLIAMS,Active,7516,246,TRUE,0,,82,2_IN,UG,,AC,LOC17-007820,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,360 BLK W DITTMAR RD,"(30.18300174, -97.78782839)",30.18300174,-97.78782839,,
7434-380-00,POND SPRINGS,Active,7434,380,TRUE,0,WB,,,,,AC,LOC17-009190,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,7806 BLK ELKHORN MOUNTAIN TRL,"(30.44787302, -97.76428939)",30.44787302,-97.76428939,,
